Date,Supplier,Order number,Product,Price per 100 grams,Quantity in kg
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023134,Sunflower oil,56,24060
2023-03-10,Jones-Jenkins,S-1010460,UCOME,70.4,28000
2023-03-10,Jones-Jenkins,S-1010461,UCOME,691.2,28080
2023-03-10,Jones-Jenkins,S-1010470,UCOME,716.8,31500
2023-03-10,Jones-Jenkins,S-1010471,UCOME,89.6,31480
2023-03-10,Jones-Jenkins,S-1010480,UCOME,1116.8,31560
2023-03-10,Jones-Jenkins,S-1010481,UCOME,25.6,31560
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023104,Sunflower oil,468.8,29180
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023107,Sunflower oil,129.6,29060
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023115,Sunflower oil,88,27680
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023116,Sunflower oil,20.8,27960
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023119,Sunflower oil,88,28160
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023126,Sunflower oil,1363.2,24660
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023127,Sunflower oil,60.8,24060
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023131,Sunflower oil,977.6,25100
2023-03-09,"Treutel, Pouros and Murphy",Ref-1023132,Sunflower oil,56,24660
2023-03-09,Jones-Jenkins,S-1010457,UCOME,670.4,28060
2023-03-09,Jones-Jenkins,S-1010458,UCOME,334.4,28060
2023-03-09,Jones-Jenkins,S-1010459,UCOME,1388.8,28060
2023-03-09,Jones-Jenkins,S-1010468,UCOME,816,31560
2023-03-09,Jones-Jenkins,S-1010469,UCOME,35.2,31460
2023-03-09,Jones-Jenkins,S-1010478,UCOME,766.4,31560
2023-03-09,Jones-Jenkins,S-1010479,UCOME,137.6,31540
2023-03-09,Jones-Jenkins,S-1009874,UCOME,16,31960
2023-03-09,Jones-Jenkins,S-1009875,UCOME,110.4,31240
2023-03-08,Jones-Jenkins,S-1009869,UCOME,110.4,32060
2023-03-08,Jones-Jenkins,S-1009870,UCOME,1284.8,32020
2023-03-08,Jones-Jenkins,S-1009871,UCOME,1305.6,31060
2023-03-08,Jones-Jenkins,S-1009872,UCOME,145.6,31060
2023-03-08,Jones-Jenkins,S-1009873,UCOME,1145.6,32060
2023-03-08,Yellowstone,S-1010404,Used cooking oil (UCO),880,14000
2023-03-08,"Treutel, Pouros and Murphy",Ref-1023105,Sunflower oil,177.6,28640
2023-03-08,"Treutel, Pouros and Murphy",Ref-1023113,Sunflower oil,1272,26680
2023-03-08,"Treutel, Pouros and Murphy",Ref-1023120,Sunflower oil,56,24720
2023-03-08,"Treutel, Pouros and Murphy",Ref-1023124,Sunflower oil,316.8,28220
2023-03-08,"Treutel, Pouros and Murphy",Ref-1023130,Sunflower oil,1188.8,24920
2023-03-08,Yellowstone,S-1010450,Used cooking oil (UCO),225.6,31140
2023-03-08,Yellowstone,S-1010451,Used cooking oil (UCO),832,31160
2023-03-08,Jones-Jenkins,S-1010456,UCOME,108.8,28060
2023-03-08,Jones-Jenkins,S-1010466,UCOME,142.4,31580
2023-03-08,Jones-Jenkins,S-1010467,UCOME,107.2,31480
2023-03-08,Jones-Jenkins,S-1010476,UCOME,137.6,31560
2023-03-08,"Treutel, Pouros and Murphy",Ref-1022282,Sunflower oil,1209.6,35780
2023-03-07,Buckridge Inc,Ref-1023013,Used cooking oil (UCO),1452.8,23340
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023102,Sunflower oil,220.8,28380
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023103,Sunflower oil,28.8,29240
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023110,Sunflower oil,710.4,26700
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023111,Sunflower oil,1068.8,28440
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023114,Sunflower oil,1219.2,25340
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023123,Sunflower oil,1254.4,28260
2023-03-07,"Treutel, Pouros and Murphy",Ref-1023129,Sunflower oil,302.4,26320
2023-03-07,Yellowstone,S-1010448,Used cooking oil (UCO),81.6,31200
2023-03-07,Yellowstone,S-1010449,Used cooking oil (UCO),1046.4,31060
2023-03-07,Jones-Jenkins,S-1010454,UCOME,993.6,28080
2023-03-07,Jones-Jenkins,S-1010455,UCOME,249.6,28060
2023-03-07,Jones-Jenkins,S-1010464,UCOME,49.6,31500
2023-03-07,Jones-Jenkins,S-1010465,UCOME,144,31480
2023-03-07,Jones-Jenkins,S-1009866,UCOME,108.8,31160
2023-03-07,Jones-Jenkins,S-1009867,UCOME,873.6,31980
2023-03-07,Jones-Jenkins,S-1009868,UCOME,892.8,32000
2023-03-06,Jones-Jenkins,S-1009862,UCOME,678.4,32040
2023-03-06,Jones-Jenkins,S-1009863,UCOME,460.8,32020
2023-03-06,Jones-Jenkins,S-1009864,UCOME,1592,31280
2023-03-06,Jones-Jenkins,S-1009865,UCOME,795.2,31240
2023-03-06,Yellowstone,S-1010403,Used cooking oil (UCO),86.4,23000
2023-03-06,Buckridge Inc,Ref-1023014,Used cooking oil (UCO),1102.4,23080
2023-03-06,Buckridge Inc,Ref-1023015,Used cooking oil (UCO),323.2,22920
2023-03-06,Buckridge Inc,Ref-1023020,Used cooking oil (UCO),81.6,22070
2023-03-06,Buckridge Inc,Ref-1023022,Used cooking oil (UCO),404.8,22050
2023-03-06,Buckridge Inc,Ref-1023023,Used cooking oil (UCO),124.8,22100
2023-03-06,"Treutel, Pouros and Murphy",Ref-1023101,Sunflower oil,308.8,28660
2023-03-06,"Treutel, Pouros and Murphy",Ref-1023112,Sunflower oil,320,28400
2023-03-06,"Treutel, Pouros and Murphy",Ref-1023128,Sunflower oil,118.4,25080
2023-03-06,Yellowstone,S-1010446,Used cooking oil (UCO),104,31140
2023-03-06,Yellowstone,S-1010447,Used cooking oil (UCO),1444.8,31140
2023-03-06,Jones-Jenkins,S-1010452,UCOME,107.2,28060
2023-03-06,Jones-Jenkins,S-1010453,UCOME,43.2,28060
2023-03-06,Jones-Jenkins,S-1010462,UCOME,57.6,31560
2023-03-06,Jones-Jenkins,S-1010463,UCOME,33.6,31480
2023-03-06,"Treutel, Pouros and Murphy",Ref-1022120,Sunflower oil,1196.8,27920
2023-03-06,"Treutel, Pouros and Murphy",Ref-1022122,Sunflower oil,1278.4,28660
2023-03-06,"Treutel, Pouros and Murphy",Ref-1022281,Sunflower oil,1068.8,31440
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022119,Sunflower oil,1027.2,28500
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022121,Sunflower oil,928,25240
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022279,Sunflower oil,100.8,24220
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022285,Sunflower oil,705.6,29840
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022292,Sunflower oil,275.2,28880
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022293,Sunflower oil,998.4,28680
2023-03-03,"Treutel, Pouros and Murphy",Ref-1022299,Sunflower oil,1441.6,25060
2023-03-03,Ledner and Lehner,Ref-1022902,Sunflower oil,134.4,28180
2023-03-03,"Hahn, Mueller and Strosin",Ref-1022947,NM30,1214.4,22700
2023-03-03,Jones-Jenkins,S-1010286,UCOME,353.6,28060
2023-03-03,Buckridge Inc,Ref-1023016,Used cooking oil (UCO),1291.2,22820
2023-03-03,Buckridge Inc,Ref-1023017,Used cooking oil (UCO),144,22030
2023-03-03,Buckridge Inc,Ref-1023018,Used cooking oil (UCO),320,22980
2023-03-03,Buckridge Inc,Ref-1023019,Used cooking oil (UCO),112,22820
2023-03-03,Buckridge Inc,Ref-1023021,Used cooking oil (UCO),870.4,22840
2023-03-03,Buckridge Inc,Ref-1023024,Used cooking oil (UCO),1166.4,22460
2023-03-03,Jones-Jenkins,S-1010436,UCOME,846.4,31520
2023-03-03,Jones-Jenkins,S-1010437,UCOME,912,31540
2023-03-03,Jones-Jenkins,S-1010438,UCOME,476.8,28000
2023-03-03,Jones-Jenkins,S-1009860,UCOME,660.8,32040
2023-03-03,Jones-Jenkins,S-1009861,UCOME,294.4,32060
2023-03-02,Jones-Jenkins,S-1009858,UCOME,1384,31860
2023-03-02,Jones-Jenkins,S-1009859,UCOME,76.8,31820
2023-03-02,Ledner and Lehner,Ref-1022901,Sunflower oil,115.2,30180
2023-03-02,Jones-Jenkins,S-1010284,UCOME,1078.4,28280
2023-03-02,Jones-Jenkins,S-1010285,UCOME,128,27960
2023-03-02,Yellowstone,S-1010402,Used cooking oil (UCO),25.6,14000
2023-03-02,Yellowstone,S-1010419,Used cooking oil (UCO),73.6,31080
2023-03-02,Jones-Jenkins,S-1010427,UCOME,713.6,31540
2023-03-02,Jones-Jenkins,S-1010428,UCOME,144,31560
2023-03-02,Jones-Jenkins,S-1010429,UCOME,81.6,31500
2023-03-02,Jones-Jenkins,S-1010434,UCOME,179.2,31500
2023-03-02,Jones-Jenkins,S-1010435,UCOME,196.8,31500
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022275,Sunflower oil,1126.4,28680
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022276,Sunflower oil,136,27140
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022278,Sunflower oil,40,23700
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022290,Sunflower oil,76.8,27460
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022291,Sunflower oil,1284.8,28680
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022297,Sunflower oil,48,24200
2023-03-02,"Treutel, Pouros and Murphy",Ref-1022298,Sunflower oil,65.6,25640
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022237,Sunflower oil,467.2,29980
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022257,Sunflower oil,27.2,31260
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022274,Sunflower oil,403.2,27540
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022277,Sunflower oil,57.6,24220
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022287,Sunflower oil,315.2,29300
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022288,Sunflower oil,364.8,28500
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022289,Sunflower oil,564.8,27900
2023-03-01,"Treutel, Pouros and Murphy",Ref-1022296,Sunflower oil,126.4,26420
2023-03-01,Ledner and Lehner,Ref-1022491,Sunflower oil,771.2,30160
2023-03-01,Jones-Jenkins,S-1010282,UCOME,1294.4,28060
2023-03-01,Jones-Jenkins,S-1010283,UCOME,1086.4,28060
2023-03-01,Yellowstone,S-1010401,Used cooking oil (UCO),1422.4,10000
2023-03-01,Yellowstone,S-1010416,Used cooking oil (UCO),806.4,31140
2023-03-01,Yellowstone,S-1010417,Used cooking oil (UCO),67.2,31120
2023-03-01,Yellowstone,S-1010418,Used cooking oil (UCO),19.2,31000
2023-03-01,Jones-Jenkins,S-1010424,UCOME,1065.6,31060
2023-03-01,Jones-Jenkins,S-1010425,UCOME,507.2,31700
2023-03-01,Jones-Jenkins,S-1010426,UCOME,1427.2,31660
2023-03-01,Jones-Jenkins,S-1010432,UCOME,720,31020
2023-03-01,Jones-Jenkins,S-1010433,UCOME,564.8,31560
2023-03-01,Yellowstone,S-1010441,Used cooking oil (UCO),19.2,33040
2023-03-01,Yellowstone,S-1010442,Used cooking oil (UCO),19.2,32420
2023-03-01,Yellowstone,S-1010443,Used cooking oil (UCO),217.6,32880
2023-03-01,Yellowstone,S-1010444,Used cooking oil (UCO),908.8,32880
2023-03-01,Yellowstone,S-1010445,Used cooking oil (UCO),347.2,33280
2023-03-01,Jones-Jenkins,S-1009853,UCOME,41.6,32060
2023-03-01,Jones-Jenkins,S-1009854,UCOME,110.4,31060
2023-03-01,Jones-Jenkins,S-1009855,UCOME,1062.4,31920
2023-03-01,Jones-Jenkins,S-1009856,UCOME,92.8,31920
2023-03-01,Jones-Jenkins,S-1009857,UCOME,78.4,31920
2023-02-28,Jones-Jenkins,S-1009852,UCOME,864,32060
2023-02-28,Jones-Jenkins,S-1010238,UCOME,20.8,28060
2023-02-28,Jones-Jenkins,S-1010281,UCOME,67.2,28340
2023-02-28,Yellowstone,S-1010297,Used cooking oil (UCO),1120,32460
2023-02-28,Yellowstone,S-1010400,Used cooking oil (UCO),97.6,15000
2023-02-28,Ledner and Lehner,Ref-1018747,Sunflower oil,86.4,25060
2023-02-28,Yellowstone,S-1010414,Used cooking oil (UCO),526.4,31020
2023-02-28,Yellowstone,S-1010415,Used cooking oil (UCO),121.6,31900
2023-02-28,Jones-Jenkins,S-1010422,UCOME,1360,31760
2023-02-28,Jones-Jenkins,S-1010423,UCOME,57.6,31560
2023-02-28,Jones-Jenkins,S-1010430,UCOME,1441.6,31660
2023-02-28,Jones-Jenkins,S-1010431,UCOME,25.6,31520
2023-02-28,Yellowstone,S-1010439,Used cooking oil (UCO),854.4,33880
2023-02-28,Yellowstone,S-1010440,Used cooking oil (UCO),1292.8,32380
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022271,Sunflower oil,1382.4,27820
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022273,Sunflower oil,968,28740
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022280,Sunflower oil,174.4,35680
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022283,Sunflower oil,142.4,23780
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022284,Sunflower oil,97.6,29980
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022286,Sunflower oil,833.6,28520
2023-02-28,"Treutel, Pouros and Murphy",Ref-1022295,Sunflower oil,1120,25180
2023-02-28,Ledner and Lehner,Ref-1022490,Sunflower oil,43.2,27180
2023-02-27,"Treutel, Pouros and Murphy",Ref-1022256,Sunflower oil,1424,24980
2023-02-27,"Treutel, Pouros and Murphy",Ref-1022272,Sunflower oil,137.6,27460
2023-02-27,"Treutel, Pouros and Murphy",Ref-1022294,Sunflower oil,753.6,25380
2023-02-27,Ledner and Lehner,Ref-1022489,Sunflower oil,76.8,27220
2023-02-27,Jones-Jenkins,S-1010236,UCOME,56,28320
2023-02-27,Jones-Jenkins,S-1010237,UCOME,107.2,28340
2023-02-27,"Hahn, Mueller and Strosin",Ref-1022923,NM30,1465.6,22460
2023-02-27,Jones-Jenkins,S-1010273,UCOME,88,31580
2023-02-27,Jones-Jenkins,S-1010274,UCOME,296,31480
2023-02-27,Yellowstone,S-1010298,Used cooking oil (UCO),40,32920
2023-02-27,Jones-Jenkins,S-1010420,UCOME,22.4,31560
2023-02-27,Jones-Jenkins,S-1010421,UCOME,136,31560
2023-02-27,Jones-Jenkins,S-1009846,UCOME,124.8,31960
2023-02-27,Jones-Jenkins,S-1009847,UCOME,83.2,31020
2023-02-27,Jones-Jenkins,S-1009849,UCOME,129.6,32020
2023-02-27,Jones-Jenkins,S-1009850,UCOME,48,32020
2023-02-27,Jones-Jenkins,S-1009851,UCOME,20.8,32060
2023-02-24,Jones-Jenkins,S-1009844,UCOME,108.8,32000
2023-02-24,Jones-Jenkins,S-1009845,UCOME,596.8,32060
2023-02-24,Jones-Jenkins,S-1009848,UCOME,721.6,32000
2023-02-24,Jones-Jenkins,S-1010271,UCOME,862.4,31500
2023-02-24,Jones-Jenkins,S-1010272,UCOME,54.4,31780
2023-02-24,Jones-Jenkins,S-1010279,UCOME,24,31560
2023-02-24,Jones-Jenkins,S-1010280,UCOME,92.8,31560
2023-02-24,"Sipes, Harber and Lynch",S-1010305,UCOME,38.4,32020
2023-02-24,"Sipes, Harber and Lynch",S-1010306,UCOME,1265.6,32040
2023-02-24,"Sipes, Harber and Lynch",S-1010307,UCOME,142.4,32020
2023-02-24,"Sipes, Harber and Lynch",S-1010308,UCOME,1561.6,32060
2023-02-24,"Sipes, Harber and Lynch",S-1010309,UCOME,640,32080
2023-02-24,"Sipes, Harber and Lynch",S-1010310,UCOME,19.2,31060
2023-02-24,Yellowstone,S-1010399,Used cooking oil (UCO),134.4,4000
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022240,Sunflower oil,177.6,29640
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022245,Sunflower oil,104,28800
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022253,Sunflower oil,220.8,29200
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022254,Sunflower oil,1292.8,28200
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022260,Sunflower oil,16,24520
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022262,Sunflower oil,328,23560
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022267,Sunflower oil,409.6,25000
2023-02-24,"Treutel, Pouros and Murphy",Ref-1022270,Sunflower oil,48,23900
2023-02-24,Ledner and Lehner,Ref-1022488,Sunflower oil,67.2,30200
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022244,Sunflower oil,796.8,28580
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022246,Sunflower oil,44.8,29260
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022251,Sunflower oil,104,29520
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022255,Sunflower oil,481.6,24660
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022261,Sunflower oil,507.2,24040
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022265,Sunflower oil,972.8,25440
2023-02-23,"Treutel, Pouros and Murphy",Ref-1022266,Sunflower oil,649.6,26840
2023-02-23,Ledner and Lehner,Ref-1022486,Sunflower oil,83.2,28160
2023-02-23,Ledner and Lehner,Ref-1022487,Sunflower oil,83.2,28200
2023-02-23,Yellowstone,S-1010100,Used cooking oil (UCO),464,8000
2023-02-23,Jones-Jenkins,S-1010269,UCOME,24,31560
2023-02-23,Jones-Jenkins,S-1010270,UCOME,569.6,31520
2023-02-23,Jones-Jenkins,S-1010277,UCOME,96,31560
2023-02-23,Jones-Jenkins,S-1010278,UCOME,129.6,31440
2023-02-23,Yellowstone,S-1010292,Used cooking oil (UCO),884.8,31340
2023-02-23,Yellowstone,S-1010296,Used cooking oil (UCO),113.6,33120
2023-02-23,"Sipes, Harber and Lynch",S-1010303,UCOME,260.8,32060
2023-02-23,"Sipes, Harber and Lynch",S-1010304,UCOME,54.4,32060
2023-02-23,Jones-Jenkins,S-1009841,UCOME,467.2,32060
2023-02-23,Jones-Jenkins,S-1009842,UCOME,592,32040
2023-02-23,Jones-Jenkins,S-1009843,UCOME,123.2,32060
2023-02-22,Jones-Jenkins,S-1009835,UCOME,57.6,32060
2023-02-22,Jones-Jenkins,S-1009837,UCOME,67.2,32060
2023-02-22,Jones-Jenkins,S-1009838,UCOME,331.2,32060
2023-02-22,Jones-Jenkins,S-1009839,UCOME,41.6,32020
2023-02-22,Jones-Jenkins,S-1009840,UCOME,924.8,32060
2023-02-22,Jones-Jenkins,S-1010267,UCOME,1294.4,31820
2023-02-22,Jones-Jenkins,S-1010268,UCOME,17.6,31560
2023-02-22,Jones-Jenkins,S-1010275,UCOME,1393.6,31520
2023-02-22,Jones-Jenkins,S-1010276,UCOME,1185.6,31520
2023-02-22,Yellowstone,S-1010291,Used cooking oil (UCO),324.8,31160
2023-02-22,Yellowstone,S-1010294,Used cooking oil (UCO),67.2,32880
2023-02-22,Yellowstone,S-1010295,Used cooking oil (UCO),412.8,33200
2023-02-22,"Sipes, Harber and Lynch",S-1010299,UCOME,132.8,32060
2023-02-22,"Sipes, Harber and Lynch",S-1010300,UCOME,60.8,32060
2023-02-22,"Sipes, Harber and Lynch",S-1010301,UCOME,134.4,30960
2023-02-22,"Sipes, Harber and Lynch",S-1010302,UCOME,116.8,32060
2023-02-22,"Treutel, Pouros and Murphy",Ref-1022243,Sunflower oil,676.8,28900
2023-02-22,"Treutel, Pouros and Murphy",Ref-1022249,Sunflower oil,43.2,28660
2023-02-22,"Treutel, Pouros and Murphy",Ref-1022250,Sunflower oil,52.8,27600
2023-02-22,"Treutel, Pouros and Murphy",Ref-1022252,Sunflower oil,360,28580
2023-02-22,"Treutel, Pouros and Murphy",Ref-1022269,Sunflower oil,94.4,24000
2023-02-22,Ledner and Lehner,Ref-1022456,Sunflower oil,25.6,26860
2023-02-22,Ledner and Lehner,Ref-1022485,Sunflower oil,1388.8,27180
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022239,Sunflower oil,67.2,29880
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022241,Sunflower oil,915.2,28760
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022242,Sunflower oil,32,28320
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022247,Sunflower oil,560,28920
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022248,Sunflower oil,310.4,28880
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022264,Sunflower oil,283.2,25060
2023-02-21,"Treutel, Pouros and Murphy",Ref-1022268,Sunflower oil,1337.6,23200
2023-02-21,Yellowstone,S-1010099,Used cooking oil (UCO),211.2,15000
2023-02-21,Buckridge Inc,Ref-1022688,Used cooking oil (UCO),668.8,22100
2023-02-21,Buckridge Inc,Ref-1022689,Used cooking oil (UCO),763.2,22100
2023-02-21,Buckridge Inc,Ref-1022693,Used cooking oil (UCO),27.2,22000
2023-02-21,Buckridge Inc,Ref-1022696,Used cooking oil (UCO),756.8,23360
2023-02-21,Jones-Jenkins,S-1010260,UCOME,65.6,31820
2023-02-21,Jones-Jenkins,S-1010261,UCOME,859.2,31560
2023-02-21,Yellowstone,S-1010290,Used cooking oil (UCO),43.2,31560
2023-02-21,"Sipes, Harber and Lynch",S-1008095,UCOME,27.2,31940
2023-02-21,Jones-Jenkins,S-1009836,UCOME,139.2,32060
2023-02-20,Jones-Jenkins,S-1009832,UCOME,142.4,32000
2023-02-20,Jones-Jenkins,S-1009834,UCOME,342.4,32060
2023-02-20,"Sipes, Harber and Lynch",S-1008094,UCOME,51.2,32060
2023-02-20,"Treutel, Pouros and Murphy",Ref-1022227,Sunflower oil,126.4,24140
2023-02-20,"Treutel, Pouros and Murphy",Ref-1022263,Sunflower oil,225.6,25020
2023-02-20,Ledner and Lehner,Ref-1022455,Sunflower oil,817.6,25120
2023-02-20,Ledner and Lehner,Ref-1022484,Sunflower oil,16,27180
2023-02-20,Yellowstone,S-1010098,Used cooking oil (UCO),976,7000
2023-02-20,Buckridge Inc,Ref-1022692,Used cooking oil (UCO),81.6,22980
2023-02-20,Buckridge Inc,Ref-1022697,Used cooking oil (UCO),668.8,22700
2023-02-20,Jones-Jenkins,S-1010224,UCOME,137.6,31560
2023-02-20,Jones-Jenkins,S-1010227,UCOME,107.2,31480
2023-02-20,Jones-Jenkins,S-1010228,UCOME,44.8,31500
2023-02-20,Jones-Jenkins,S-1010235,UCOME,352,28220
2023-02-20,Jones-Jenkins,S-1010256,UCOME,1212.8,32060
2023-02-20,Jones-Jenkins,S-1010259,UCOME,24,31900
2023-02-20,Yellowstone,S-1010289,Used cooking oil (UCO),872,31440
2023-02-20,Yellowstone,S-1010293,Used cooking oil (UCO),137.6,33440
2023-02-17,Buckridge Inc,Ref-1022690,Used cooking oil (UCO),1091.2,22240
2023-02-17,Buckridge Inc,Ref-1022691,Used cooking oil (UCO),1268.8,21910
2023-02-17,Buckridge Inc,Ref-1022694,Used cooking oil (UCO),136,22380
2023-02-17,Buckridge Inc,Ref-1022695,Used cooking oil (UCO),576,22040
2023-02-17,Buckridge Inc,Ref-1022698,Used cooking oil (UCO),112,21970
2023-02-17,Buckridge Inc,Ref-1022699,Used cooking oil (UCO),52.8,21960
2023-02-17,Jones-Jenkins,S-1010233,UCOME,81.6,31800
2023-02-17,Jones-Jenkins,S-1010234,UCOME,625.6,31480
2023-02-17,Jones-Jenkins,S-1010243,UCOME,128,28020
2023-02-17,Jones-Jenkins,S-1010244,UCOME,97.6,28260
2023-02-17,Jones-Jenkins,S-1010247,UCOME,974.4,31940
2023-02-17,Jones-Jenkins,S-1010248,UCOME,64,31520
2023-02-17,Jones-Jenkins,S-1010257,UCOME,70.4,31960
2023-02-17,Jones-Jenkins,S-1010258,UCOME,17.6,32060
2023-02-17,"Treutel, Pouros and Murphy",Ref-1022213,Sunflower oil,1409.6,27640
2023-02-17,"Treutel, Pouros and Murphy",Ref-1022233,Sunflower oil,934.4,24960
2023-02-17,"Treutel, Pouros and Murphy",Ref-1022234,Sunflower oil,105.6,28780
2023-02-17,"Treutel, Pouros and Murphy",Ref-1022238,Sunflower oil,99.2,29720
2023-02-17,"Sipes, Harber and Lynch",S-1008092,UCOME,46.4,32080
2023-02-17,"Sipes, Harber and Lynch",S-1008093,UCOME,17.6,32060
2023-02-16,"Sipes, Harber and Lynch",S-1008087,UCOME,46.4,32060
2023-02-16,"Sipes, Harber and Lynch",S-1008088,UCOME,692.8,31880
2023-02-16,"Sipes, Harber and Lynch",S-1008089,UCOME,136,32060
2023-02-16,"Sipes, Harber and Lynch",S-1008090,UCOME,86.4,31960
2023-02-16,"Sipes, Harber and Lynch",S-1008091,UCOME,145.6,32060
2023-02-16,"Treutel, Pouros and Murphy",Ref-1022211,Sunflower oil,1041.6,29240
2023-02-16,"Treutel, Pouros and Murphy",Ref-1022212,Sunflower oil,131.2,27460
2023-02-16,"Treutel, Pouros and Murphy",Ref-1022221,Sunflower oil,254.4,24000
2023-02-16,"Treutel, Pouros and Murphy",Ref-1022225,Sunflower oil,54.4,23960
2023-02-16,"Treutel, Pouros and Murphy",Ref-1022226,Sunflower oil,137.6,24560
2023-02-16,"Treutel, Pouros and Murphy",Ref-1022228,Sunflower oil,76.8,28120
